index,url,Nominal voltage (V),No load speed (rpm),No load current (mA),Nominal speed (rpm),Nominal torque (max. continuous torque) (mNm),Nominal current (max. continuous current) (A),Stall torque (mNm),Stall current (A),Max. efficiency (%),Terminal resistance (Ω),Terminal inductance (mH),Torque constant (mNm/A),Speed constant (rpm/V),Speed / torque gradient (rpm/mNm),Mechanical time constant (ms),Rotor inertia (gcm²),Thermal resistance housing-ambient (K/W),Thermal resistance winding-housing (K/W),Thermal time constant winding (s),Thermal time constant motor (s),Ambient temperature (°C),Max. winding temperature (°C),Max. speed (rpm),Axial play (mm) (N),Unnamed: 26 (N),Radial play (mm),Max. axial load (dynamic) (N),Max. force for press fits (static) (N),"(static, shaft supported) (N)",Max. radial load,Number of pole pairs,Number of phases,Number of autoclave cycles,Weight (g),Bearing type,Number of commutator segments,Protection
17,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ECX/ECX-PRIME/ECX16-PRIME/ECXZ16M4KN50K2SC1Y538A,18,15600,72.9,12800,14.4,1.36,86.6,7.91,82,2.28,0.114,10.9,873,181,2.24,1.18,17.3,1.98,3.79,363,-40...+135,+155,40000,"0 mm, at radial load < 1","0.14 mm, at radial load > 1",,1,50,1000,"10 N, 5 mm from flange",2,3.0,1000.0,43,Waelzlager,,
18,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ECX/ECX-PRIME/ECX22-PRIME/ECXZ22L1CF50K2IL1Y340A,12,13200,344,12300,65.2,7.85,1010,117,90,0.103,0.0084,8.62,1110,13.2,1.59,11.5,11.1,0.57,3.91,849,-20...+100,+155,25000,"0 mm, at radial load < 4","0.14 mm, at radial load > 4",0,4,110,5300,"16 N, 5 mm from flange",2,3.0,0.0,153,Waelzlager,,
19,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ECX/ECX-PRIME/ECX22-PRIME/ECXZ22L1CF50K2IL1Y374A,18,14200,252,13300,64.8,5.58,1190,98.2,90,0.183,0.0165,12.1,791,12,1.45,11.5,11.1,0.57,4.01,849,-20...+100,+155,25000,"0 mm, at radial load < 4","0.14 mm, at radial load > 4",0,4,110,5300,"16 N, 5 mm from flange",2,3.0,0.0,153,Waelzlager,,
20,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ECX/ECX-PRIME/ECX22-PRIME/ECXZ22L1CF50K2IL1Y409A,24,13300,172,12400,65,3.91,1110,64.2,90,0.374,0.0336,17.2,554,12,1.45,11.5,11.1,0.57,3.91,849,-20...+100,+155,25000,"0 mm, at radial load < 4","0.14 mm, at radial load > 4",0,4,110,5300,"16 N, 5 mm from flange",2,3.0,0.0,153,Waelzlager,,
21,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ECX/ECX-PRIME/ECX22-PRIME/ECXZ22L1CF50K2IL1Y450A,36,13300,115,12400,65,2.61,1130,43.7,90,0.824,0.0644,25.9,369,11.8,1.42,11.5,11.1,0.57,3.91,849,-20...+100,+155,25000,"0 mm, at radial load < 4","0.14 mm, at radial load > 4",0,4,110,5300,"16 N, 5 mm from flange",2,3.0,0.0,153,Waelzlager,,
22,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ECX/ECX-PRIME/ECX22-PRIME/ECXZ22L1CN50K2SC1Y340A,12,13800,378,12600,67.1,8.4,836,101,89,0.119,0.0065,8.29,1150,16.5,1.99,11.5,11.1,0.57,3.96,849,-40...+135,+155,30000,"0 mm, at radial load < 4","0.14 mm, at radial load > 4",0,4,110,5300,"16 N, 5 mm from flange",2,3.0,1000.0,153,Waelzlager,,
23,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ECX/ECX-PRIME/ECX22-PRIME/ECXZ22L1CN50K2SC1Y374A,18,14800,280,13700,66.1,5.93,1030,88.9,89,0.203,0.0127,11.6,822,14.3,1.73,11.5,11.1,0.57,4.07,849,-40...+135,+155,30000,"0 mm, at radial load < 4","0.14 mm, at radial load > 4",0,4,110,5300,"16 N, 5 mm from flange",2,3.0,1000.0,153,Waelzlager,,
24,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ECX/ECX-PRIME/ECX22-PRIME/ECXZ22L1CN50K2SC1Y409A,24,13800,189,12800,67.3,4.22,1050,63.4,90,0.378,0.026,16.6,576,13.1,1.58,11.5,11.1,0.57,3.96,849,-40...+135,+155,30000,"0 mm, at radial load < 4","0.14 mm, at radial load > 4",0,4,110,5300,"16 N, 5 mm from flange",2,3.0,1000.0,153,Waelzlager,,
25,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ECX/ECX-PRIME/ECX22-PRIME/ECXZ22L1CN50K2SC1Y450A,36,13800,126,12900,66.9,2.79,1090,43.8,90,0.822,0.0585,24.9,384,12.7,1.53,11.5,11.1,0.57,3.96,849,-40...+135,+155,30000,"0 mm, at radial load < 4","0.14 mm, at radial load > 4",0,4,110,5300,"16 N, 5 mm from flange",2,3.0,1000.0,153,Waelzlager,,
26,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ECX/ECX-PRIME/ECX22-PRIME/ECXZ22M1CF50K2IL1Y409A,18,15100,228,14000,44.5,4.12,680,60,88,0.3,0.0214,11.3,842,22.3,2.01,8.6,13.1,0.335,1.84,711,-20...+100,+155,25000,"0 mm, at radial load < 4","0.14 mm, at radial load > 4",0,4,110,5300,"16 N, 5 mm from flange",2,3.0,0.0,110,Waelzlager,,
