Index,url,Absolute reduction,Max. efficiency (%),Width (mm),Weight (g),Outer diameter (mm)
87,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX12/GPX12-4-Stufig-A/GPX12AAKLSL0734CPLW,23566950/32110,65.0,30.1,19,12.0
88,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX12/GPX12-4-Stufig-A/GPX12AAKLSL1526CPLW,19837224/13000,65.0,30.1,19,12.0
89,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX12/GPX12-2-Stufig-A/GPX12AAKLSL16D0CPLW,5625/361,80.0,20.4,14,12.0
90,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX12/GPX12-2-Stufig-A/GPX12AAKLSL26D0CPLW,4950/190,80.0,20.4,14,12.0
91,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX12/GPX12-2-Stufig-A/GPX12AAKLSL35D0CPLW,4554/130,80.0,20.4,14,12.0
92,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX12/GPX12-3-Stufig-A/GPX12AAKLSL62D0CPLW,421875/6859,75.0,25.2,17,12.0
93,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX12/GPX12-3-Stufig-C/GPX12CAKLSL0150CPLW,328509/2197,75.0,25.2,17,12.0
94,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX12/GPX12-3-Stufig-C/GPX12CAKLSL0231CPLW,300564/1300,75.0,25.2,17,12.0
95,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX12/GPX12-4-Stufig-C/GPX12CAKLSL0243CPLW,31640625/130321,65.0,30.1,19,12.0
96,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX12/GPX12-1-Stufig-C/GPX12CAKLSL03D9CPLW,75/19,90.0,15.5,11,12.0
97,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX12/GPX12-1-Stufig-C/GPX12CAKLSL05D3CPLW,69/13,90.0,15.5,11,12.0
98,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX12/GPX12-4-Stufig-C/GPX12CAKLSL0734CPLW,23566950/32110,65.0,30.1,19,12.0
99,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX12/GPX12-4-Stufig-C/GPX12CAKLSL1526CPLW,19837224/13000,65.0,30.1,19,12.0
100,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX12/GPX12-2-Stufig-C/GPX12CAKLSL16D0CPLW,5625/361,80.0,20.4,14,12.0
101,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX12/GPX12-2-Stufig-C/GPX12CAKLSL26D0CPLW,4950/190,80.0,20.4,14,12.0
102,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX12/GPX12-2-Stufig-C/GPX12CAKLSL35D0CPLW,4554/130,80.0,20.4,14,12.0
103,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX12/GPX12-3-Stufig-C/GPX12CAKLSL62D0CPLW,421875/6859,75.0,25.2,17,12.0
104,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX12/GPX12-3-Stufig-HP/GPX12HPKLSL0150CPLW,328509/2197,65.0,28.1,19,12.0
105,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX12/GPX12-3-Stufig-HP/GPX12HPKLSL0231CPLW,300564/1300,65.0,28.1,19,12.0
106,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX12/GPX12-4-Stufig-HP/GPX12HPKLSL0243CPLW,31640625/130321,55.0,33.0,21,12.0
107,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX12/GPX12-4-Stufig-HP/GPX12HPKLSL0734CPLW,23566950/32110,55.0,33.0,21,12.0
