index,url,Gearhead type,Version,Reduction (:1),Absolute reduction,Number of stages,Max. continuous torque (Nm),Max. intermittent torque (Nm),"Direction of rotation, drive to output",Max. efficiency (%),Gearhead length (L1) (mm),Bearing at output,Max. radial load,Max. axial load (dynamic) (N),Max. continuous input speed (rpm),Max. intermittent input speed (rpm),Recommended temperature range (°C),Weight (g),Outer diameter (mm),Average backlash no load (°),Max. motor shaft diameter (mm),Mass inertia (gcm²),Max. transmittable power (continuous) (W),Max. transmittable power (intermittent) (W),Radial play,Axial play (mm),Max. force for press fits (N),Extended temperature range (°C),Number of autoclave cycles,Max. feed velocity (mm/s),Max. feed force continuous (N),Max. feed force intermittent (N),Mechanical positioning accuracy (mm),Spindle length (mm),Axial play of the nut (mm)
41,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp52/223089,GP,Ceramic version,43,343/8,3,30,45,=,75,78.5,ball bearing,"900 N, 12 mm from flange",200,6000,6000,-15...+80,770,52,1,10,17.3,440,660,"0.06 mm, 12 mm from flange",0 - 0.3,500,-40...+100,0.0,,,,,,
42,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp52/223093,GP,Ceramic version,81,2197/27,3,30,45,=,75,78.5,ball bearing,"900 N, 12 mm from flange",200,6000,6000,-15...+80,770,52,1,8,9.4,230,350,"0.06 mm, 12 mm from flange",0 - 0.3,500,-40...+100,0.0,,,,,,
43,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp32/320247,GP,High Power,14,676/49,2,4,6,=,75,48.1,ball bearing,"200 N, 10 mm from flange",120,8000,8000,-40...+100,178,32,0.8,6,0.8,240,360,"0.14 mm, 10 mm from flange",0.4,120,100...+100,0.0,,,,,,
44,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp32/326666,GP,High Power,79,3887/49,3,8,12,=,70,54.8,ball bearing,"250 N, 10 mm from flange",120,8000,8000,-40...+100,213,32,1,6,0.7,85,130,"0.14 mm, 10 mm from flange",0.4,120,100...+100,0.0,,,,,,
45,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp32/326672,GP,High Power,190,12167/64,4,8,12,=,60,61.5,ball bearing,"300 N, 10 mm from flange",120,8000,8000,-40...+100,249,32,1,6,0.7,35,53,"0.14 mm, 10 mm from flange",0.4,120,100...+100,0.0,,,,,,
46,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp16/328699,GP,Ceramic version,370,10556001/28561,4,0.5,0.75,=,65,30.4,ball bearing,"80 N, 6 mm from flange",12,12000,12000,-40...+100,33,16,2.4,2,0.05,0.9,1.1,"0.08 mm, 6 mm from flange",0 - 0.05,100,,0.0,,,,,,
47,https://www.maxongroup.com/maxon/view/product/gear/spindle/gp22s/363827,GP,Spindle drive with metric screw,3.8,15/4,1,,,=,35,38,,"80 N, 15 mm from flange",,8000,8000,-15...+80,103,22,1,4,1.03,110,180,"0.05 mm, 5 mm from flange",,550,80...+80,0.0,35,60,167,0.034,150,0.008
48,https://www.maxongroup.com/maxon/view/product/gear/spindle/gp22s/363830,GP,Spindle drive with metric screw,14,225/16,2,,,=,29,44.8,,"130 N, 15 mm from flange",,8000,8000,-15...+80,116,22,1.2,4,0.4,30,48,"0.05 mm, 5 mm from flange",,550,80...+80,0.0,9.5,92,259,0.034,150,0.008
49,https://www.maxongroup.com/maxon/view/product/gear/spindle/gp22s/363835,GP,Spindle drive with metric screw,53,3375/64,3,,,=,25,51.6,,"180 N, 15 mm from flange",,8000,8000,-15...+80,128,22,1.6,4,0.3,7.9,13,"0.05 mm, 5 mm from flange",,550,80...+80,0.0,2.5,144,351,0.034,150,0.008
50,https://www.maxongroup.com/maxon/view/product/gear/spindle/gp22s/363845,GP,Spindle drive with metric screw,198,50625/256,4,,,=,20,58.4,,"180 N, 15 mm from flange",,8000,8000,-15...+80,141,22,2,4,0.3,2.1,3.4,"0.05 mm, 5 mm from flange",,390,80...+80,0.0,0.7,223,351,0.037,150,0.008
