index,url,Nominal voltage,No load speed,No load current,Nominal speed,Nominal torque (max. continuous torque),Nominal current (max. continuous current),Stall torque,Stall current,Max. efficiency,Terminal resistance,Terminal inductance,Torque constant,Speed constant,Speed / torque gradient,Mechanical time constant,Rotor inertia,Thermal resistance housing-ambient,Thermal resistance winding-housing,Thermal time constant winding,Thermal time constant motor,Ambient temperature,Max. winding temperature,Max. speed,Axial play,,Radial play,Max. axial load (dynamic),Max. force for press fits (static),"(static, shaft supported)",Max. radial load,Number of pole pairs,Number of phases,Number of autoclave cycles,Weight,Bearing type,Number of commutator segments,Protection
451,https://www.maxongroup.com/maxon/view/product/motor/dcmotor/DC-max/DC-max16/DC-MAX16S01GBKL553,6 V,9960 rpm,47.6 mA,6770 rpm,3.79 mNm,0.72 A,12.1 mNm,2.15 A,73 %,2.79 Ω,0.0857 mH,5.62 mNm/A,1700 rpm/V,843 rpm/mNm,8.85 ms,1 gcm²,29.8 K/W,5.5 K/W,4.86 s,288 s,-30...+85 °C,+125 °C,11000 rpm,"0.05 mm, at radial load < 0 N ","0.15 mm, at radial load > 0 N ",0.025 mm,2.2 N,30 N,200 N,"7.8 N, 5 mm from flange ",1 ,N/A,0 ,23 g,Waelzlager ,7 ,N/A
452,https://www.maxongroup.com/maxon/view/product/motor/dcmotor/DC-max/DC-max16/DC-MAX16S01GBKL622,12 V,9960 rpm,23.8 mA,6180 rpm,4.41 mNm,0.415 A,11.9 mNm,1.05 A,72 %,11.4 Ω,0.343 mH,11.2 mNm/A,849 rpm/V,858 rpm/mNm,8.92 ms,0.993 gcm²,29.8 K/W,5.5 K/W,4.8 s,288 s,-30...+85 °C,+125 °C,11000 rpm,"0.05 mm, at radial load < 0 N ","0.15 mm, at radial load > 0 N ",0.025 mm,2.2 N,30 N,200 N,"7.8 N, 5 mm from flange ",1 ,N/A,0 ,23 g,Waelzlager ,7 ,N/A
453,https://www.maxongroup.com/maxon/view/product/motor/dcmotor/DC-max/DC-max16/DC-MAX16S01GBKL692,24 V,10000 rpm,11.9 mA,6560 rpm,4.87 mNm,0.228 A,14.4 mNm,0.64 A,75 %,37.5 Ω,1.37 mH,22.5 mNm/A,424 rpm/V,707 rpm/mNm,8.57 ms,1.16 gcm²,29.8 K/W,5.5 K/W,5.69 s,288 s,-30...+85 °C,+125 °C,11000 rpm,"0.05 mm, at radial load < 0 N ","0.15 mm, at radial load > 0 N ",0.025 mm,2.2 N,30 N,200 N,"7.8 N, 5 mm from flange ",1 ,N/A,0 ,23 g,Waelzlager ,7 ,N/A
454,https://www.maxongroup.com/maxon/view/product/motor/dcmotor/DC-max/DC-max22/DC-MAX22S01EBKL556,6 V,5490 rpm,18.9 mA,4280 rpm,8.55 mNm,0.84 A,39 mNm,3.75 A,86 %,1.6 Ω,0.119 mH,10.4 mNm/A,919 rpm/V,141 rpm/mNm,8.44 ms,5.7 gcm²,20 K/W,6 K/W,17.6 s,538 s,-30...+65 °C,+85 °C,9000 rpm,"0.05 mm, at radial load < 0 N ","0.15 mm, at radial load > 0 N ",0.025 mm,3.3 N,45 N,420 N,"12.3 N, 5 mm from flange ",1 ,N/A,0 ,54 g,Waelzlager ,9 ,N/A
455,https://www.maxongroup.com/maxon/view/product/motor/dcmotor/DC-max/DC-max22/DC-MAX22S01EBKL619,12 V,5890 rpm,10.5 mA,4250 rpm,10.3 mNm,0.541 A,36.9 mNm,1.91 A,86 %,6.28 Ω,0.413 mH,19.3 mNm/A,494 rpm/V,160 rpm/mNm,8.36 ms,4.98 gcm²,20 K/W,6 K/W,15.3 s,538 s,-30...+65 °C,+85 °C,9000 rpm,"0.05 mm, at radial load < 0 N ","0.15 mm, at radial load > 0 N ",0.025 mm,3.3 N,45 N,420 N,"12.3 N, 5 mm from flange ",1 ,N/A,0 ,54 g,Waelzlager ,9 ,N/A
456,https://www.maxongroup.com/maxon/view/product/motor/dcmotor/DC-max/DC-max22/DC-MAX22S01EBKL703,24 V,5090 rpm,4.22 mA,3450 rpm,10.4 mNm,0.235 A,32.3 mNm,0.721 A,86 %,33.3 Ω,2.21 mH,44.8 mNm/A,213 rpm/V,159 rpm/mNm,8.39 ms,5.05 gcm²,20 K/W,6 K/W,15.5 s,538 s,-30...+65 °C,+85 °C,9000 rpm,"0.05 mm, at radial load < 0 N ","0.15 mm, at radial load > 0 N ",0.025 mm,3.3 N,45 N,420 N,"12.3 N, 5 mm from flange ",1 ,N/A,0 ,54 g,Waelzlager ,9 ,N/A
457,https://www.maxongroup.com/maxon/view/product/motor/dcmotor/DC-max/DC-max22/DC-MAX22S01GBKL529,6 V,7040 rpm,56.4 mA,4980 rpm,11.3 mNm,1.49 A,42.4 mNm,5.39 A,77 %,1.11 Ω,0.0686 mH,7.88 mNm/A,1210 rpm/V,171 rpm/mNm,9.09 ms,5.07 gcm²,20 K/W,6 K/W,15.6 s,538 s,-30...+85 °C,+125 °C,9000 rpm,"0.05 mm, at radial load < 0 N ","0.15 mm, at radial load > 0 N ",0.025 mm,3.3 N,45 N,420 N,"12.3 N, 5 mm from flange ",1 ,N/A,0 ,54 g,Waelzlager ,9 ,N/A
458,https://www.maxongroup.com/maxon/view/product/motor/dcmotor/DC-max/DC-max22/DC-MAX22S01GBKL598,12 V,7140 rpm,28.3 mA,5260 rpm,12.5 mNm,0.819 A,49.4 mNm,3.14 A,81 %,3.83 Ω,0.274 mH,15.8 mNm/A,606 rpm/V,147 rpm/mNm,8.57 ms,5.57 gcm²,20 K/W,6 K/W,17.2 s,538 s,-30...+85 °C,+125 °C,9000 rpm,"0.05 mm, at radial load < 0 N ","0.15 mm, at radial load > 0 N ",0.025 mm,3.3 N,45 N,420 N,"12.3 N, 5 mm from flange ",1 ,N/A,0 ,54 g,Waelzlager ,9 ,N/A
459,https://www.maxongroup.com/maxon/view/product/motor/dcmotor/DC-max/DC-max22/DC-MAX22S01GBKL665,24 V,7340 rpm,14.5 mA,5350 rpm,11.8 mNm,0.397 A,44.6 mNm,1.45 A,80 %,16.6 Ω,1.05 mH,30.8 mNm/A,310 rpm/V,167 rpm/mNm,8.2 ms,4.69 gcm²,20 K/W,6 K/W,14.3 s,538 s,-30...+85 °C,+125 °C,9000 rpm,"0.05 mm, at radial load < 0 N ","0.15 mm, at radial load > 0 N ",0.025 mm,3.3 N,45 N,420 N,"12.3 N, 5 mm from flange ",1 ,N/A,0 ,54 g,Waelzlager ,9 ,N/A
460,https://www.maxongroup.com/maxon/view/product/motor/dcmotor/DC-max/DC-max26/DC-MAX26S01EBKL574,12 V,4460 rpm,22.2 mA,3790 rpm,21 mNm,0.84 A,140 mNm,5.49 A,88 %,2.19 Ω,0.278 mH,25.6 mNm/A,373 rpm/V,31.9 rpm/mNm,4.99 ms,14.9 gcm²,13.2 K/W,3.2 K/W,17.8 s,350 s,-30...+65 °C,+85 °C,6700 rpm,0.1 - 0.2 mm,N/A,0.025 mm,5 N,75 N,1200 N,"20 N, 5 mm from flange ",1 ,N/A,0 ,120 g,Waelzlager ,13 ,N/A
