index,url,Gearhead type,Version,Reduction,Absolute reduction,Number of stages,Max. continuous torque,Max. intermittent torque,"Direction of rotation, drive to output",Max. efficiency,Gearhead length (L1),Bearing at output,Max. radial load,Max. axial load (dynamic),Max. continuous input speed,Max. intermittent input speed,Recommended temperature range,Weight,Outer diameter,Average backlash no load,Max. motor shaft diameter,Mass inertia,Max. transmittable power (continuous),Max. transmittable power (intermittent),Radial play,Axial play,Max. force for press fits,Extended temperature range,Number of autoclave cycles,Max. feed velocity,Max. feed force continuous,Max. feed force intermittent,Mechanical positioning accuracy,Spindle length,Axial play of the nut
22,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp22/143984,GP ,Ceramic version ,84 : 1 ,185193/2197 ,3 ,1.2 Nm,1.9 Nm,= ,59 %,39 mm,ball bearing ,"55 N, 10 mm from flange ",100 N,8000 rpm,8000 rpm,-40...+100 °C,68 g,22 mm,1.6 °,3.2 mm,0.4 gcm²,12 W,19 W,"max. 0.2 mm, 10 mm from flange ",0 - 0.2 mm,100 N,100...+100 °C,0 ,N/A,N/A,N/A,N/A,N/A,N/A
23,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp22/143988,GP ,Ceramic version ,128 : 1 ,41553/325 ,3 ,1.2 Nm,1.9 Nm,= ,59 %,39 mm,ball bearing ,"55 N, 10 mm from flange ",100 N,8000 rpm,8000 rpm,-40...+100 °C,68 g,22 mm,1.6 °,3.2 mm,0.4 gcm²,7.9 W,12 W,"max. 0.2 mm, 10 mm from flange ",0 - 0.2 mm,100 N,100...+100 °C,0 ,N/A,N/A,N/A,N/A,N/A,N/A
24,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp22/143996,GP ,Ceramic version ,370 : 1 ,10556001/28561 ,4 ,1.8 Nm,2.7 Nm,= ,49 %,45.8 mm,ball bearing ,"55 N, 10 mm from flange ",100 N,8000 rpm,8000 rpm,-40...+100 °C,81 g,22 mm,2 °,3.2 mm,0.4 gcm²,4.1 W,6.1 W,"max. 0.2 mm, 10 mm from flange ",0 - 0.2 mm,100 N,100...+100 °C,0 ,N/A,N/A,N/A,N/A,N/A,N/A
25,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp32/166159,GP ,Standard version ,18 : 1 ,624/35 ,2 ,2.25 Nm,3.4 Nm,= ,75 %,36.4 mm,ball bearing ,"140 N, 10 mm from flange ",120 N,6000 rpm,6000 rpm,-40...+100 °C,162 g,32 mm,0.8 °,4 mm,0.8 gcm²,61 W,76 W,"max. 0.14 mm, 5 mm from flange ",max. 0.4 mm,120 N,100...+100 °C,0 ,N/A,N/A,N/A,N/A,N/A,N/A
26,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp32/166165,GP ,Standard version ,66 : 1 ,16224/245 ,3 ,4.5 Nm,6.5 Nm,= ,70 %,43.1 mm,ball bearing ,"200 N, 10 mm from flange ",120 N,6000 rpm,6000 rpm,-40...+100 °C,194 g,32 mm,1 °,4 mm,0.7 gcm²,25 W,38 W,"max. 0.14 mm, 5 mm from flange ",max. 0.4 mm,120 N,100...+100 °C,0 ,N/A,N/A,N/A,N/A,N/A,N/A
27,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp32/166169,GP ,Standard version ,111 : 1 ,13824/125 ,3 ,4.5 Nm,6.5 Nm,= ,70 %,43.1 mm,ball bearing ,"200 N, 10 mm from flange ",120 N,6000 rpm,6000 rpm,-40...+100 °C,194 g,32 mm,1 °,4 mm,0.7 gcm²,25 W,38 W,"max. 0.14 mm, 5 mm from flange ",max. 0.4 mm,120 N,100...+100 °C,0 ,N/A,N/A,N/A,N/A,N/A,N/A
28,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp32/166174,GP ,Standard version ,246 : 1 ,421824/1715 ,4 ,4.5 Nm,6.5 Nm,= ,60 %,49.8 mm,ball bearing ,"200 N, 10 mm from flange ",120 N,6000 rpm,6000 rpm,-40...+100 °C,226 g,32 mm,1 °,4 mm,0.7 gcm²,7.5 W,9.4 W,"max. 0.14 mm, 5 mm from flange ",max. 0.4 mm,120 N,100...+100 °C,0 ,N/A,N/A,N/A,N/A,N/A,N/A
29,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp32/166931,GP ,Ceramic version ,4.8 : 1 ,24/5 ,1 ,1 Nm,1.25 Nm,= ,80 %,26.5 mm,ball bearing ,"90 N, 10 mm from flange ",120 N,8000 rpm,8000 rpm,-40...+100 °C,118 g,32 mm,0.7 °,4 mm,1.5 gcm²,170 W,220 W,"max. 0.14 mm, 5 mm from flange ",max. 0.4 mm,120 N,100...+100 °C,0 ,N/A,N/A,N/A,N/A,N/A,N/A
30,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp32/166934,GP ,Ceramic version ,18 : 1 ,624/35 ,2 ,3 Nm,3.75 Nm,= ,75 %,36.4 mm,ball bearing ,"140 N, 10 mm from flange ",120 N,8000 rpm,8000 rpm,-40...+100 °C,162 g,32 mm,0.8 °,4 mm,0.8 gcm²,140 W,170 W,"max. 0.14 mm, 5 mm from flange ",max. 0.4 mm,120 N,100...+100 °C,0 ,N/A,N/A,N/A,N/A,N/A,N/A
31,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp32/166940,GP ,Ceramic version ,66 : 1 ,16224/245 ,3 ,6 Nm,7.5 Nm,= ,70 %,43.1 mm,ball bearing ,"200 N, 10 mm from flange ",120 N,8000 rpm,8000 rpm,-40...+100 °C,194 g,32 mm,1 °,4 mm,0.7 gcm²,76 W,95 W,"max. 0.14 mm, 5 mm from flange ",max. 0.4 mm,120 N,100...+100 °C,0 ,N/A,N/A,N/A,N/A,N/A,N/A
